incidentradiation_all,roomnames_all,sunlighthours_all
0.0,HP-C60C,0.0
21.18196,HP7001,134.45674
0.0,HP5207,0.0
10.111683,HP0025,340.104167
50.523786,HP2306E,479.942857
805.572447,HP7001B,1546.211628
0.0,HP7001A,0.25
0.0,HP4130E,0.0
0.0,HP3010D,0.0
0.0,HP-EL-1,0.0
0.0,HP5010A,0.0
0.0,HP-EL-2,0.0
0.0,HP3157A,0.0
0.0,HP5130D,0.0
0.0,HP0003,0.0
0.0,HP0001,0.0
0.0,HP2005,0.0
0.0,HP6010A,0.0
0.0,HP6100D,0.0
16.910223,HP1000C,208.904523
30.055228,HP1000B,246.690476
0.0,HP6201,0.020833
0.0,HP4130D,0.0
0.0,HP4154E,0.0
0.0,HP4154B,0.0
0.0,HP2304B,0.0
0.0,HP4306A,0.0
0.0,HP4312A,0.0
0.0,HP2310B,0.0
0.0,HP3304B,0.0
0.0,HP5110UA,0.0
0.0,HP3110UA,0.0
0.0,HP4110UA,0.0
71.060977,HP6330,179.759259
325.492804,HP4005,1138.416667
365.806984,HP5005,1152.3875
115.554659,HP5005,686.241071
0.0,HP5020,0.0
0.0,HP-ST-102,0.0
0.0,HP-ST-100,0.0
0.0,HP-EL-1,0.0
0.0,HP-EL-1,0.0
0.0,HP-EL-1,0.0
0.0,HP2303C,0.779412
0.0,HP4110B,0.0
0.0,HP4110Z,0.0
0.0,HP-EL-1,0.0
9.509876,HP5252,0.0
0.0,HP-EL-1,0.0
0.0,HP0023,0.0
33.57951,HP0015,587.785156
3.403668,HP1010,24.708333
0.0,HP0014,0.0
5.659532,HP6100Y,14.070513
42.774048,HP6100X,42.916667
130.386093,HP-C61B,503.814815
72.453155,HP6100C,85.5
251.938473,HP6100B,848.357143
133.402715,HP6100A,500.825243
0.0,HP4016,0.0
0.0,HP3207,0.0
0.0,HP6365,0.0
0.0,HP3130D,0.0
6.522987,HP5100B,9.151316
5.940299,HP4100B,11.857955
6.589516,HP-C20A,21.809006
1.763981,HP-ST-204,55.094595
6.253967,HP-C61A,53.831522
197.489027,HP-C60B,689.953488
1.747723,HP6002,12.684426
0.695722,HP6001,20.670833
17.474408,HP5234,22.872093
17.347344,HP5233,41.328767
55.227507,HP-C50B,203.806452
45.719197,HP-C51B,189.434426
0.230104,HP-C41B,4.455357
8.709443,HP5002,115.037377
227.603126,HP5228,880.315
1.938948,HP-C41D,24.725806
0.061862,HP5226,0.726563
2.369491,HP-C41F,20.586957
0.0,HP-C40B,0.323684
0.643187,HP-ST-404,34.889423
7.5255,HP4002,114.443723
9.278266,HP5221,1.662698
0.061862,HP5220,0.8125
1.327126,HP-C31F,15.555556
1.986217,HP-C31D,28.758065
0.225454,HP-C31B,4.763158
0.0,HP5215,0.0
0.0,HP5019,0.0
0.0,HP4014,0.0
0.0,HP3014,0.0
0.086189,HP-C30A,0.469626
4.477351,HP3001,0.130597
0.260418,HP-C30B,9.705357
435.802408,HP3005,1289.847222
5.030721,HP3004,86.058824
0.0,HP002,0.009804
0.0,HP2302U,0.0
0.0,HP2302T,0.693548
0.0,HP6100U,0.0
0.0,HP5120N,0.0
0.0,HP2302O,0.0
2.190254,HP5121C,25.75
0.0,HP5110A,0.0
0.775629,HP5121B,23.208333
1.227491,HP5121A,11.458333
213.785207,HP6348,561.883333
0.0,HP0027,0.0
0.0,HP0029,0.0
0.0,HP0021,0.0
0.0,HP6344A,0.0
0.0,HP6303,0.0
0.0,HP6301,0.0
0.0,HP6342,0.0
0.0,HP5010A,0.0
0.0,HP5101,1.225
0.0,HP5110U,0.0
0.0,HP4209,0.0
0.0,HP3010C,0.0
0.0,HP3010A,0.0
0.0,HP2306B,0.0
0.0,HP-C20AA,7.0
0.0,HP2014,0.0
0.0,HP2303A,0.0
0.0,HP2303B,0.0
0.0,HP5310B,0.0
0.0,HP4302C,0.0
0.0,HP4302B,0.0
0.0,HP4310A,0.0
0.0,HP3302J,15.0
7.150396,HP3302I,106.526567
0.0,HP4304A,0.0
0.0,HP4308A,0.0
0.0,HP3302E,0.0
0.023792,HP3302D,0.730198
0.02403,HP-C40BB,0.7375
0.0,HP3308A,0.0
0.0,HP3206A,0.0
0.0,HP3208A,0.0
0.0,HP3312A,0.0
0.0,HP3310A,0.0
0.0,HP3306A,0.0
0.0,HP3001B,0.0
0.0,HP3001C,0.0
0.0,HP3001D,14.375
0.0,HP3005A,0.0
0.0,HP3001A,0.0
0.0,HP-C10A,0.0
0.0,HP-EL-2,0.0
0.0,HP3304A,0.0
0.0,HP5101D,4.5
0.0,HP5101C,0.0
0.0,HP5101B,0.6875
0.0,HP5101A,0.0
0.0,HP5017,0.0
0.0,HP4101,0.275
0.0,HP4101A,0.0
0.0,HP4101D,4.5
0.0,HP4101B,0.6875
0.0,HP4101C,0.0
0.0,HP4017,0.0
0.682129,HP3101,1.0
0.0,HP-ST-PH02,0.0
0.938363,HP2001B,0.725
0.0,1985,0.239506
1.515518,HP0012,0.612903
0.0,HP0011,0.0
0.0,HP0013,0.0
0.030473,HP0014,0.537844
78.15472,HP2103A,288.483333
123.719838,HP6300,661.117647
9.88468,HP-C63A,88.513158
31.968365,HP-ST-602,99.7
15.478528,HP-ST-604,16.184211
13.708299,HP6100,2.770833
1.179957,HP-ST-504,62.171466
29.2956,1972,91.829412
1.06868,HP5100,0.020833
333.808911,HP5130,1106.484375
1.06868,HP4100,0.020833
0.051567,HP-C41E,1.370968
0.557493,HP4130,0.058036
0.014414,HP-C41C,0.169643
0.643187,HP4005,34.889423
0.0,HP-EL-3,0.0
0.047444,HP-C31E,1.58871
2.239397,HP3100,4.835526
0.557493,HP3130,0.058036
0.0,HP3205A,0.0
82.458418,HP5003,540.093284
88.730026,HP4003,552.608491
74.952507,HP3003,507.168478
4.56913,HP6315,36.455882
23.237428,HP6209,271.2
0.0,HP1012A,0.0
0.978882,1947,0.194444
5.288679,HP-C31A,55.438559
9.86292,HP3002,116.241292
4.19084,HP-C40A,4.617769
0.0,HP-ST-403,0.009259
5.758439,1942,54.538136
4.988309,HP-C51A,48.579741
29.747846,HP-C60A,30.038618
2.84265,HP-ST-603,4.689815
0.0,1938,0.833333
123.191735,HP-ST-601,249.163043
0.0,1934,0.0
29.2956,1933,91.829412
0.0,HP-ST-503,0.009259
0.0,HP-C40AA,0.0
0.0,HP3110Z,0.041667
0.0,HP-ST-303,0.010417
0.0,HP1200B,0.0
0.0,HP1200A,0.0
0.0,HP6100W,0.0
0.0,HP2304A,0.0
0.0,HP2306A,0.0
0.0,HP2310A,0.0
0.0,HP-EL-3,0.0
0.0,HP2203,0.0
0.0,HP2200A,0.0
0.0,HP2200B,0.0
22.660285,HP-ST-203,175.259615
0.0,1910,0.0
0.0,HP-EL-1,0.0
9.749663,HP2001A,74.435976
107.726705,HP1000,683.184896
21.028844,HP2002,269.348837
0.0,HP1014,0.0
1.061882,1903,63.698
427.590147,HP1005,640.815126
110.849939,HP5110F,424.433333
1.201502,HP5159C,18.0
0.0,HP5159B,0.0
0.39873,HP5159A,10.4375
0.005635,HP0010,0.142494
0.0,HP1013A,0.0
0.0,HP1013,0.0
0.0,HP1012,0.0
0.0,HP1011,0.0
0.0,HP2200C,0.0
0.0,HP2010A,0.0
0.0,HP2019,0.0
0.0,HP2017,0.0
0.0,HP6012,0.0
0.0,HP6010,0.0
0.0,HP2012A,0.0
0.0,HP2010,0.0
0.0,HP4154D,0.125
29.2956,HP5162D,91.829412
0.0,HP5110Z,0.0
0.799286,1874,35.875
14.870708,HP6131,57.541667
74.272602,HP6100Q,428.305556
192.475726,HP6100L,832.75
20.397631,HP5110E,0.944444
129.255091,HP5110L,682.375
58.597958,HP5110T,327.5625
74.469764,HP5110S,431.75
74.469764,HP5110R,431.722222
19.402497,HP5120Q,14.479167
22.466039,HP5110C,1.138889
74.469764,HP5110Q,431.722222
20.397631,HP5110D,0.944444
74.469764,HP5110P,431.75
74.469764,HP5110N,431.75
75.145343,HP5110M,431.027778
59.147997,HP5110K,318.833333
60.998336,HP5110J,356.25
61.579945,HP5110H,349.666667
61.579945,HP5110G,346.25
23.389785,HP4140CC,22.75
26.534572,HP4140HH,24.5
0.0,HP4120K,0.0
23.389785,HP4140GG,22.75
23.389785,HP4140DD,22.75
23.389785,HP4140EE,22.75
23.389785,HP4140FF,22.75
20.397631,HP4110E,0.944444
129.588146,HP4110L,684.025
58.597958,HP4110T,327.5625
74.469764,HP4110S,431.75
74.469764,HP4110R,431.722222
20.520889,HP4120P,15.020833
22.466039,HP4110C,1.138889
74.469764,HP4110Q,431.722222
20.397631,HP4110D,0.944444
74.469764,HP4110P,431.75
74.469764,HP4110N,431.75
75.145343,HP4110M,431.027778
59.147997,HP4110K,318.833333
60.998336,HP4110J,356.25
61.579945,HP4110H,349.666667
61.579945,HP4110G,346.25
23.696128,HP3140CC,22.833333
20.689645,HP3110E,1.055556
129.588146,HP3110L,684.025
0.81115,HP6130B,0.0
0.0,HP3110B,0.0
4.735217,HP-C41A,53.353814
1.065714,HP4134B,0.0
0.81115,HP4134A,0.0
0.978882,HP5142B,1.402778
49.355302,HP5162C,530.583333
0.0,HP4154C,0.0
0.0,HP3154B,0.0
0.0,HP6013,0.0
0.0,HP6017,0.0
0.0,HP6015,0.0
0.0,HP6011,0.0
0.0,HP6100T,0.0
3.07766,HP6127,27.916667
1.787252,HP6125,27.0625
0.893626,HP6123,19.875
9.386392,HP5130C,122.371212
0.0,HP5013,0.0
0.0,HP5015,0.0
0.0,HP5011,0.0
0.0,HP5110B,0.0
4.113125,HP4121C,35.208333
0.0,HP4110A,0.0
0.775629,HP4121B,25.0
1.227491,HP4121A,11.375
0.0,HP4110U,0.0
0.0,HP4011,0.0
0.0,HP4015,3.71875
0.0,HP4015,0.0
0.0,HP4013,0.0
4.113125,HP3121C,35.333333
0.0,HP3110A,0.0
0.775629,3121B,25.0
1.227491,3121A,11.375
0.0,HP5012,0.0
0.0,HP5010,0.0
0.0,HP4012,0.0
0.0,HP4010,0.0
0.0,HP4010A,0.0
23.696128,HP3120U,22.75
1.229247,HP-C63B,9.324561
190.210447,HP6369,561.954545
0.0,HP5120D,0.0
0.0,HP5120M,0.0
0.0,HP5120V,0.0
0.0,HP5120L,0.0
0.0,HP5120K,0.0
0.0,HP5120H,0.0
0.0,HP5120F,0.0
0.0,HP5120B,0.0
0.0,HP4120D,0.0
0.0,HP4120H,0.0
0.0,HP4120M,0.0
0.0,HP4120T,0.0
0.0,HP4120J,0.0
0.0,HP4120G,0.0
0.0,HP4120F,0.0
0.0,HP4120E,0.0
0.0,HP4120B,0.0
0.0,HP4140G,0.0
180.376483,HP4140M,559.388889
174.837013,HP4140U,564.722222
182.716031,HP4140V,565.527778
183.886305,HP4140W,564.888889
161.596693,HP4140Q,560.5
177.907318,HP4140R,561.111111
173.63297,HP4140T,563.583333
168.921206,HP4140P,551.111111
177.188175,HP4140N,553.972222
171.614423,HP4140S,562.111111
190.826486,HP4140X,566.0
190.826486,HP4140Y,565.5
192.698521,HP4140Z,563.361111
23.696128,HP4120U,22.638889
23.696128,HP5120U,22.638889
23.696128,HP5120T,22.638889
23.696128,HP5120S,22.638889
0.0,HP5120J,0.0
23.696128,HP5120R,22.638889
23.696128,HP5120W,22.638889
27.685465,HP5120CC,21.527778
27.341507,HP5120AA,21.75
23.696128,HP5120Y,22.638889
26.700415,HP4120S,23.0
25.161806,HP4120R,22.833333
0.0,HP4140F,0.0
25.161806,HP4120Q,22.833333
23.696128,HP4120V,22.638889
27.385861,HP4120Z,21.5
27.036776,HP4120X,21.722222
23.696128,HP4120W,22.638889
0.0,HP3140H,0.0
158.559352,HP-C63D,461.086493
85.723065,HP6310,465.388889
0.0,HP6346,0.0
112.089498,HP6352,706.2375
0.0,HP6354,0.333333
0.0,HP6329,0.0
0.0,HP6305,0.0
0.0,HP6307A,0.0
0.0,HP6307,0.933824
180.376483,HP3140N,561.027778
174.837013,HP3140V,566.111111
182.716031,HP3140W,566.777778
183.886305,HP3140X,565.861111
161.596693,HP3140R,561.25
177.907318,HP3140S,562.444444
174.837013,HP3140U,564.75
168.921206,HP3140Q,552.888889
177.188175,HP3140P,555.888889
171.614423,HP3140T,563.777778
190.826486,HP3140Y,567.305556
190.826486,HP3140Z,566.972222
192.698521,HP3140AA,564.861111
0.0,HP1200,0.0
69.472224,HP1000A,412.071429
31.920249,HP2002A,465.108333
73.964985,HP2002B,609.144231
0.803518,HP2018,52.708333
0.0,HP-EL-2,0.0
70.988398,HP-ST-202,167.909483
47.331301,HP-ST-201,123.364035
0.0,HP-EL-2,0.0
0.0,HP6019,0.527778
54.428717,HP-ST-401,124.105
62.474183,HP-ST-402,125.683962
0.0,HP4018,0.0
0.0,HP-EL-2,0.0
71.429347,HP-ST-502,154.685
0.0,HP5019,0.0
0.0,HP-EL-2,0.0
65.532138,HP-ST-501,130.49
66.379313,HP-ST-301,131.683673
65.461835,HP-ST-302,133.39
0.0,HP3018,0.0
0.0,HP-EL-2,0.0
36.650761,HP2103,128.046823
5.658979,HP3130B,1.006579
46.69049,HP3130A,12.5
5.658979,HP4130B,0.881579
45.050885,HP4130A,10.21875
461.385998,HP5130A,1372.03125
343.910081,HP5130B,1248.764706
0.0,HP2001C,0.0
22.705978,HP2000,162.54878
0.0,HP2303,0.0
0.0,HP5120G,0.0
0.0,HP5120X,0.0
0.0,HP5120Z,0.0
0.0,HP5120E,0.0
23.696128,HP3140HH,22.833333
12.040585,HP-C50A,22.621622
23.696128,HP3120S,22.75
0.0,HP3140E,0.0
188.382795,HP3140BB,615.983333
0.0,HP3140M,0.0
0.0,HP3140L,0.0
0.0,HP3140J,0.0
0.0,HP3140K,0.0
0.0,HP3130C,0.0
0.0,HP3120H,0.0
0.0,HP3140G,0.0
58.597958,HP3110T,327.5625
74.469764,HP3110S,431.75
0.0,HP5120A,0.0
46.263523,HP5100A,3.71875
0.0,HP5120C,0.0
0.0,HP5120BB,0.0
0.0,HP5159J,0.1875
0.0,HP5159H,0.0
0.0,HP5159G,0.0
0.0,HP5120P,0.0
0.600751,HP5159F,15.6875
0.0,HP5161E,0.0
0.0,HP5159D,10.125
0.0,HP4140L,0.0
0.0,HP4140K,0.0
0.0,HP4140J,0.0
0.0,HP4130C,0.0
0.0,HP4120C,0.0
44.92474,1433,27.833333
0.0,HP4120A,0.0
1.820145,HP4133,16.821429
44.359882,HP4100A,3.71875
187.999893,HP4140BB,613.433333
0.0,HP4120Y,0.0
0.0,HP4149F,0.0
0.0,HP4149E,0.0
0.0,HP4149D,0.0
0.0,HP4120N,0.0
0.0,HP4149C,0.0
0.0,HP4149B,0.0
0.0,HP4149A,0.0
0.0,HP4161J,2.375
0.0,HP4161H,14.125
0.849408,HP4161G,26.3125
0.431276,HP4161M,0.4375
0.222428,HP4161L,1.75
4.081793,HP4161K,52.5625
0.0,HP4161C,7.1875
1.274111,HP4161B,10.5625
0.39873,HP4161A,10.3125
0.367691,HP4161F,4.3125
0.849408,HP4161E,14.625
0.424704,HP4161D,17.75
0.0,HP4140A,0.0
0.0,HP4120AA,0.0
74.469764,HP3110R,431.722222
23.696128,HP3120R,22.75
0.0,HP3120D,0.0
0.0,HP3120M,0.0
0.0,HP3120A,0.0
8.530718,1384,2.5
0.0,HP3120K,0.0
2.154519,HP3133,20.285714
0.799286,HP3154C,0.125
41.907989,HP3100A,6.59375
0.81115,HP3134A,0.0
0.0,HP3120C,0.0
0.0,HP3120X,0.0
0.0,HP3101B,0.5
0.0,HP3101A,0.0
20.520889,HP3120P,15.166667
0.0,HP3101D,2.1875
0.0,HP3101C,0.0
0.0,HP3110U,0.0
0.0,HP3140D,0.0
0.0,HP3140C,0.0
107.717868,HP3110F,424.966667
0.0,HP3149F,0.0
0.0,HP3149E,0.0
0.0,HP3149D,0.0
0.0,HP6302,0.0
105.785542,HP3308,251.826389
87.707561,HP2312,195.08046
67.742359,HP4306,175.628788
0.0,HP4151,0.0
0.0,HP4140B,0.0
0.0,HP3011,0.0
0.0,HP3017,0.0
0.0,HP3015,0.0
0.0,HP3010,0.0
0.0,HP3013,0.0
9.346234,HP3010B,69.548931
0.0,HP3012,0.0
22.466039,HP3110C,2.166667
23.696128,HP3140GG,22.833333
0.0,HP3120N,0.0
0.0,HP3149C,0.0
0.0,HP3149B,0.0
0.0,HP3149A,0.0
0.0,HP4140C,0.0
0.0,HP4205,0.0
0.0,HP4205A,0.0
0.0,HP4155,0.0
0.0,HP4157,0.0
0.0,HP4153,0.0
0.0,HP3140B,0.0
23.696128,HP3120Q,22.75
0.0,HP3151,0.0
63.821992,HP2302,186.490683
42.222677,HP2310,114.989011
0.0,HP3161J,2.875
0.0,HP3161H,17.125
0.849408,HP3161G,30.6875
0.431276,HP3161M,0.4375
0.222428,HP3161L,1.875
8.026988,HP3161K,61.375
0.0,HP3161C,8.25
1.274111,HP3161B,12.3125
0.39873,HP3161A,12.0625
0.367691,HP3161F,5.4375
0.849408,HP3161E,17.0
0.424704,HP3161D,21.3125
0.0,HP3140A,0.0
0.0,HP3120AA,0.0
74.469764,HP3110Q,431.722222
23.696128,HP3120V,22.75
0.0,HP3155,0.0
0.0,HP3157,0.0
0.0,HP3153,0.0
0.0,HP2202,0.0
17.732894,HP2102,97.477679
18.001733,HP2106,98.28125
6.646389,HP6320,0.166667
9.895672,HP6326,16.208333
111.328604,HP6312,484.666667
9.462816,HP6318,22.583333
73.317017,HP6306,314.229167
21.720977,HP6100E,27.551724
63.768793,HP6100K,366.180556
28.731803,HP3120Z,21.666667
27.341507,HP3120Y,21.666667
23.043257,HP3110D,1.166667
23.696128,HP3140DD,22.833333
23.696128,HP3140EE,22.833333
23.696128,HP3140FF,22.833333
0.0,HP6100R,0.0
0.0,HP6100S,0.0
0.0,HP6100V,0.0
74.272602,HP6100N,428.277778
41.303095,HP6100H,257.833333
41.303095,HP6100J,257.833333
91.377382,HP6100G,381.65625
74.203792,HP6100M,429.25
5.303425,HP6332,43.25
0.0,HP6214,0.0
0.0,HP6208,0.0
69.844326,HP6304,404.271429
0.0,HP6325,0.0
185.067816,HP6316,432.980263
202.005667,HP6314,659.608108
183.95637,HP6324,413.730263
167.82244,HP6322,409.77027
0.0,HP6323,0.0
98.661881,HP6308,519.5
0.0,HP6202,0.0
0.0,HP6202A,0.0
0.0,HP6212,0.0
0.0,HP6210,0.0
115.044546,HP5302,511.967988
70.104256,HP5304,183.806818
0.0,HP5208,0.0
0.0,HP5206,0.0
74.537806,HP5306,223.761957
0.0,HP5202,0.0
116.170739,HP4302,512.382622
0.0,HP4206,0.0
0.0,HP4208,0.0
0.0,HP4207,0.0
0.0,HP4204,0.0
0.0,HP4210,0.0
76.011383,HP4308,194.990385
74.561686,HP4304,215.729008
107.590843,HP3302,498.741722
74.469764,HP3110P,431.75
74.469764,HP3110N,431.75
75.145343,HP3110M,431.027778
60.998336,HP3110J,356.25
59.147997,HP3110K,318.833333
61.579945,HP3110H,349.583333
61.579945,HP3110G,346.25
0.0,HP3140F,0.0
0.0,HP3120T,0.0
0.0,HP3120J,0.0
0.0,HP3120G,0.0
0.0,HP3120F,0.0
0.0,HP3120E,0.0
0.0,HP3120B,0.0
0.0,HP3206,0.0
0.0,HP3208,0.0
0.0,HP3204,0.0
0.0,HP3202,0.0
73.169228,HP3306,208.849638
87.347982,HP3304,223.571023
0.0,HP4140D,0.0
151.441644,HP6367,261.75
39.328989,HP2306,107.030576
35.278242,HP2304,92.72482
0.0,HP3205,0.0
0.0,HP4202,0.0
103.515551,HP5209A,328.84375
23.761422,HP5209,50.840476
142.880826,HP4312,533.51264
75.402335,HP4310,206.442935
156.641151,HP3312,567.316071
79.931779,HP3310,235.332645
23.696128,HP3120W,22.75
74.272602,HP6100P,428.277778
0.0,HP4140H,0.0
0.0,HP4140E,0.0
110.849939,HP4110F,424.35
138.306546,HP5312,438.492126
26.512769,HP5205,108.795
0.0,HP6340,0.0
0.0,HP6204,0.0
0.0,HP6206,0.0
0.0,HP6356,0.0
0.0,HP6358,0.0
0.0,HP6360,0.208333
320.114571,HP6363,935.965278
0.0,HP6359,0.0
0.0,HP6357,0.0
0.0,HP6362,0.0
0.0,HP6355,0.0
0.0,HP6353,0.0
0.0,HP6351,0.0
0.0,HP6344,0.0
