Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP2200A,VESTIBULE HP2200A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac986,LEVEL 02,HP2202;HP2002;HP2004
HP3120K,OFFICE HP3120K,8864ee1f-26f4-4e89-932b-e8f289c6470a-003aba88,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120G;HP3120M;HP3120J;HP3120D;HP3100;HP-C31C
HP2203,CLASSROOM STORAGE HP2203,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac989,LEVEL 02,HP2002;HP2004
HP6100Y,WAITING / PREFUNCTION HP6100Y,092b4ff3-5418-42fa-a49d-bccb1fdd71a2-009c86f7,LEVEL 06,HP6100A
HP2310A,AV CLO. HP2310A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac98f,LEVEL 02,HP2310
HP2306A,AV CLO. HP2306A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac992,LEVEL 02,HP2306
HP2304A,AV CLO. HP2304A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004ac995,LEVEL 02,HP2304;HP2304B
HP5110E,OFFICE HP5110E,8761029a-7949-451f-bead-5894f98e32b0-00486c40,LEVEL 05,HP5110C;HP5110D;HP-C51A
HP4140C,STAFF OFFICE HP4140C,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c3b9,LEVEL 04,HP4140E;HP4140D;HP-C41E
HP0014,MAINTENANCE SHOP HP0014,c8c59508-fbc4-421f-8f17-658645ecbfc6-00a8c8d2,LEVEL 01,HP0010
HP3306A,AV CLO. HP3306A,daeff68d-d9a4-462e-b027-bf3b609bf202-006b0bcc,LEVEL 03,HP3306
HP5209,MAKERSPACE MEDIA LAB HP5209,02e8bcb1-d354-4633-936e-deb3c8a27a36-002bfcca,LEVEL 05,HP5205;HP5020;HP-C50B
HP3207,DATA HP3207,8f8a98cb-64bc-42ae-9d99-d208628062c0-009af99c,LEVEL 03,HP-C30B
HP3310A,AV CLO. HP3310A,daeff68d-d9a4-462e-b027-bf3b609bf202-006b0beb,LEVEL 03,HP3310;HP3312A
HP3120S,OFFICE HP3120S,66012009-ce1e-488e-95c7-106a3df10f70-003bac5a,LEVEL 03,HP3120U;HP3120Y;HP3120P;HP-C31B;HP3120W;HP3120V;HP3120R;HP3120Q
HP5002,EAST ATRIUM HP5002,df48f3eb-9846-4bae-a20f-b098c9e0b842-0089b68d,LEVEL 05,HP-ST-502;HP5205;HP5202;HP5005;HP5304;HP-ST-501;HP-EL-1;HP5312;HP5306;HP-EL-2;HP5302
HP6310,BREAK /OFFICE HP6310,9c366077-349c-4b85-95f7-9501b769eaa4-0043c40f,LEVEL 06,HP6308;HP-C63B
HP6369,SP STORAGE HP6369,3cd687a1-e134-47f3-89b8-4a07257f0e1c-00468dd7,LEVEL 06,HP-C63C;HP-C63D;HP6365
HP1012,TOILET HP1012,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e68,LEVEL 01,HP1012A;HP-C10A
HP1013,TOILET HP1013,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a1e69,LEVEL 01,HP-C10A;HP1013A
HP-C41B,ADMIN CORR. HP-C41B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b8bf,LEVEL 04,HP4120A;HP4120U;HP4120P;HP4120W;HP4120X;HP4120Z;HP4120V;HP4120AA;HP4120Q;HP4120N;HP4120R;HP4120Y;HP4120S;HP4120T
HP-C51B,ADMIN CORR. HP-C51B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b90c,LEVEL 05,HP5120Y;HP5120A;HP5120Q;HP5120AA;HP5120CC;HP5120W;HP5120R;HP5120Z;HP5120X;HP5120BB;HP5120S;HP5120T;HP5120V;HP5120U;HP5120P
HP6344A,STORAGE HP6344A,33afc0de-f027-4dda-bf80-d356d9ea8ac9-00726c95,LEVEL 06,HP6344;HP-C60C;HP6340;HP6342;HP6002
HP-C50B,PUBLIC CORR. HP-C50B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b9e5,LEVEL 05,HP5205;HP5209;HP5206;HP-C60B;HP5207;HP5233;HP5020;HP5019
HP3120N,CONF(8) HP3120N,51ff7dbf-0d68-43c5-a409-2c1b36764abe-0031c432,LEVEL 03,HP-C31B
HP5233,WEST ATRIUM HP5233,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089b9e8,LEVEL 05,HP-C50B;HP5207;HP5208
HP-C31F,ADMIN CORR. HP-C31F,1f3a85a3-945a-4cfb-abf4-73936d04dbfe-008992d2,LEVEL 03,HP3140DD;HP3140FF;HP3140CC;HP3140N;HP3004;HP3140AA;HP3140Z;HP3140Y;HP3140T;HP3140P;HP3140Q;HP3140HH;HP3140U;HP3140S;HP3140R;HP3157A;HP3140X;HP3140W;HP3140V;HP3153;HP3157;HP3155;HP3140F;HP3151;HP-C31D;HP3140GG;HP3140G;HP3140EE
HP5220,ADMIN CORR. HP5220,1f3a85a3-945a-4cfb-abf4-73936d04dbfe-008992d5,LEVEL 03,HP3010D;HP3130C;HP3151;HP3140M;HP3140K;HP3140J;HP3140H;HP3010C;HP3140G;HP3140L
HP3014,ELECT HP3014,d17140ae-73d7-4137-8f33-31de6e23511e-0087fd3c,LEVEL 03,HP-C30B
HP-EL-2,ELEVATOR HP-EL-2,2bbdc6c7-452f-4a6d-ae3e-161ad700afac-011640da,PENTHOUSE,HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP2303,RECEIVING/LOADING HP2303,9636b62e-8b9e-43fa-a4a9-f3405902d751-003de88b,LEVEL 02,HP2303B;HP2004;HP2303A;HP2002;HP2303C
HP5221,WEST ATRIUM HP5221,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af07,LEVEL 04,HP4210;HP4208
HP4002,EAST ATRIUM HP4002,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af0a,LEVEL 04,HP4312;HP-ST-401;HP-EL-2;HP4202;HP4312A;HP-EL-1;HP4304;HP4308;HP4306;HP4204;HP-C41F;HP4302;HP4306A;HP4005;HP4310;HP4304A;HP-ST-402
HP6302,STORAGE HP6302,19aaaff1-0b69-4ccd-9cd3-be031c1d448d-00331bd5,LEVEL 06,HP6306;HP-C63A;HP6304
HP3110R,OFFICE HP3110R,a4a4aed8-5bcf-466e-8a97-51854c0bd956-003b1ed9,LEVEL 03,HP3110S;HP3110Q;HP3110M;HP3110N;HP-C31A;HP3110P
HP-C40B,PUBLIC CORR. HP-C40B,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089af24,LEVEL 04,HP4205;HP4206;HP4016;HP4209;HP4204;HP4207;HP4014
HP4120W,OFFICE HP4120W,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca89,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP5120E,STAFF OFFICE HP5120E,6ff27a87-62af-40f8-a24b-83e797282507-003ddfa7,LEVEL 05,HP5130C;HP5120G;HP5120C;HP5120A;HP-C51C;HP5120J
HP4120X,OFFICE HP4120X,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca8d,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120Z;HP4120V
HP4120Z,OFFICE HP4120Z,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca8e,LEVEL 04,HP-C41B;HP4120X
HP4120V,OFFICE HP4120V,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca8f,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120X
HP4120Q,OFFICE HP4120Q,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca91,LEVEL 04,HP4120U;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP4140F,STAFF OFFICE HP4140F,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca92,LEVEL 04,HP4140E;HP-C41F;HP5226;HP4140G
HP4120R,OFFICE HP4120R,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca99,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120W;HP-C41B;HP4120S;HP4120X;HP4120V
HP4120S,OFFICE HP4120S,4a653e06-fb9a-4797-9441-327d6da0ffac-0044ca9c,LEVEL 04,HP4120Q;HP4120U;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120X;HP4120V
HP4014,ELECT HP4014,d17140ae-73d7-4137-8f33-31de6e23511e-0087fd8e,LEVEL 04,HP-C40B
HP3120P,CHAIR OFFICE HP3120P,fa7b4a67-9991-4750-8563-132eb7ac0cc5-003609f4,LEVEL 03,HP3120U;HP3120Y;HP-C31B;HP3120S;HP3120W;HP3120V;HP3120R;HP3120Q
HP6342,CONTROL HP6342,b5f9e4e1-0446-4f7b-90b2-e755a6b823aa-00718920,LEVEL 06,HP6344;HP-C63D;HP6340;HP-C63C;HP6344A
HP6002,EAST ATRIUM HP6002,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089be27,LEVEL 06,HP-EL-1;HP-C60C;HP6340;HP6344A;HP-C63B;HP-EL-2;HP6344
HP5120Z,STAFF OFFICE HP5120Z,6ff27a87-62af-40f8-a24b-83e797282507-003ddfef,LEVEL 05,HP5120X;HP5120V;HP5120BB;HP-C51B
HP2304,CLASSROOM HP2304,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c4368,LEVEL 02,HP2304B;HP2304A;HP2303C
HP2306,CLASSROOM HP2306,a19b267a-8cbf-406d-9dd0-35f3a116abea-002c436b,LEVEL 02,HP2306A;HP2306B
HP2304B,CL STO. HP2304B,4f1a2a47-1d82-46da-8ed4-4126fd40997f-00c4b6df,LEVEL 02,HP2304;HP2304A
HP1014,MACH RM HP1014,4ba18549-9c74-4ef6-8f75-163bdfda2351-004ab8ce,LEVEL 01,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP-EL-2;HP-C10A;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP5120Y,OFFICE HP5120Y,4a653e06-fb9a-4797-9441-327d6da0ffac-0044cae6,LEVEL 05,HP5120S;HP5120T;HP5120AA;HP5120U;HP5120W;HP5120Q;HP5120R;HP-C51B
HP5120AA,OFFICE HP5120AA,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caea,LEVEL 05,HP5120S;HP5120Y;HP5120T;HP5120U;HP5120Q;HP5120W;HP-C51B;HP5120R;HP5120CC
HP5120CC,OFFICE HP5120CC,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caeb,LEVEL 05,HP5120AA;HP-C51B
HP5120W,OFFICE HP5120W,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caec,LEVEL 05,HP5120S;HP5120Y;HP5120T;HP5120AA;HP5120U;HP5120Q;HP-C51B;HP5120R
HP5120R,OFFICE HP5120R,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caee,LEVEL 05,HP5120Y;HP5120S;HP5120T;HP5120AA;HP5120U;HP5120W;HP5120Q;HP-C51B
HP5120J,STAFF OFFICE HP5120J,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caef,LEVEL 05,HP5130C;HP5120G;HP5120C;HP5120E;HP5120A;HP-C51C
HP2001C,CAFE STOR HP2001C,ea5714f3-e810-429c-be28-aabd4f4838cc-003df21f,LEVEL 02,HP2001B
HP3110Q,OFFICE HP3110Q,ca3b91b7-bf10-48e0-a639-693902af65e9-00310746,LEVEL 03,HP3110S;HP3110M;HP3110N;HP3110R;HP3110P;HP-C31A
HP5120S,OFFICE HP5120S,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caf6,LEVEL 05,HP5120Y;HP5120T;HP5120AA;HP5120U;HP5120W;HP5120Q;HP5120R;HP-C51B
HP5120T,OFFICE HP5120T,4a653e06-fb9a-4797-9441-327d6da0ffac-0044caf9,LEVEL 05,HP5120S;HP5120Y;HP5120Q;HP5120AA;HP5120U;HP5120W;HP-C51B;HP5120R
HP3140GG,OFFICE HP3140GG,6709ec6e-06b8-4e6b-a4b5-7b897e34d070-0031f237,LEVEL 03,HP3140DD;HP3140CC;HP-C31F;HP-C31D;HP3140HH;HP3140FF;HP3140EE
HP3140H,STAFF OFFICE HP3140H,e0ef02ed-b478-494e-b673-998064ed7d6f-0043da98,LEVEL 03,HP5220;HP3140G
HP3140HH,OFFICE HP3140HH,1be918ec-db3a-4534-adaf-065dcd88540e-003bd41c,LEVEL 03,HP3140DD;HP3140CC;HP-C31F;HP-C31D;HP3140GG;HP3140FF;HP3140EE
HP-C60B,PUBLIC CORR. HP-C60B,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089c142,LEVEL 06,HP-C50B
HP-C61A,ADMIN CORR. HP-C61A,51f08de2-ad15-4e7b-8e66-908d05da8f7a-0089c145,LEVEL 06,HP6100T;HP6100P;HP6011;HP6100S;HP6100Q;HP-ST-603;HP-C60A;HP6100M;HP6100K;HP6100G;HP6100J;HP6100H;HP6100N
HP5120X,STAFF OFFICE HP5120X,6ff27a87-62af-40f8-a24b-83e797282507-003de032,LEVEL 05,HP5120V;HP5120BB;HP-C51B;HP5120Z
HP5205,FOUNDATION SKILLS HP5205,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be051,LEVEL 05,HP5209;HP5020;HP5002;HP5005;HP-C50B
HP2310B,CLO. HP2310B,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c4613e,LEVEL 02,HP2310
HP3312A,AV CLO. HP3312A,daeff68d-d9a4-462e-b027-bf3b609bf202-006b0d45,LEVEL 03,HP3310;HP3310A;HP3312
HP2202,AUDITORIUM HP2202,c186d33f-1f56-48f9-9a56-be5a652e9237-00305be5,LEVEL 02,HP2200B;HP1200B;HP1200A;HP2200A;HP1200
HP2302N,DF HP2302N,ec0268b4-53e9-4764-8bf5-5fd07d9eb683-007ab8fc,LEVEL 04,HP-C40A;HP4013;HP4015;HP4017
HP3120U,OFFICE HP3120U,982b0bb1-46e5-4274-9a86-28aa970acb89-00467b14,LEVEL 03,HP3120Y;HP3120P;HP-C31B;HP3120S;HP3120W;HP3120V;HP3120R;HP3120Q
HP5120G,STAFF OFFICE HP5120G,6ff27a87-62af-40f8-a24b-83e797282507-003de075,LEVEL 05,HP5130C;HP5120C;HP5120E;HP5120A;HP-C51C;HP5120J
HP4013,TOILET HP4013,0d260a51-9937-4198-9d34-e7c16045e406-00476802,LEVEL 04,HP-C40A;HP2302N
HP4015,ELECT HP4015,0d260a51-9937-4198-9d34-e7c16045e406-00476803,LEVEL 04,HP-C40A;HP2302N
HP4140D,STAFF OFFICE HP4140D,8a8fbecc-27a0-454f-b487-b9ad6dd89786-002cc8c2,LEVEL 04,HP4140E;HP4140C;HP-C41E
HP4011,TOILET HP4011,0d260a51-9937-4198-9d34-e7c16045e406-00476806,LEVEL 04,HP-C41A;HP4101
HP6306,CONTROL HP6306,c82672cd-897e-4bd6-b9f0-6a0f1ffc6248-002ec24d,LEVEL 06,HP-C63A;HP6304;HP6302
HP6318,CONTROL HP6318,c82672cd-897e-4bd6-b9f0-6a0f1ffc6248-002ec296,LEVEL 06,HP-C63B
HP4110U,CONF(12) HP4110U,0d260a51-9937-4198-9d34-e7c16045e406-0047680f,LEVEL 04,HP-C41A;HP4110UA
HP2302,CLASSROOM HP2302,2c3aeebf-9efc-49ce-bebf-10c0ab60929a-003143e6,LEVEL 02,HP-ST-502;HP-ST-602;HP-ST-202;HP7001A;HP7001;HP-ST-402
HP6312,CONTROL HP6312,c82672cd-897e-4bd6-b9f0-6a0f1ffc6248-002ec29f,LEVEL 06,HP-C63B
HP6326,CONTROL HP6326,c82672cd-897e-4bd6-b9f0-6a0f1ffc6248-002ec2aa,LEVEL 06,HP6330;HP-C63B
HP6320,CONTROL HP6320,c82672cd-897e-4bd6-b9f0-6a0f1ffc6248-002ec2b3,LEVEL 06,HP-C63B
HP5312,HEALTH ASSESSMENT HP5312,6acf317e-b7cb-4225-a9ba-636eea3772fe-002be0dc,LEVEL 05,HP5002
HP4110G,OFFICE HP4110G,8761029a-7949-451f-bead-5894f98e32b0-00486545,LEVEL 04,HP-C41A;HP4110H;HP4110J
HP4110H,OFFICE HP4110H,8761029a-7949-451f-bead-5894f98e32b0-00486546,LEVEL 04,HP-C41A;HP4110G;HP4110J
HP4110J,OFFICE HP4110J,8761029a-7949-451f-bead-5894f98e32b0-00486547,LEVEL 04,HP4110K;HP-C41A;HP4110G;HP4110H
HP4110K,OFFICE HP4110K,8761029a-7949-451f-bead-5894f98e32b0-00486548,LEVEL 04,HP-C41A;HP4110J
HP4110M,OFFICE HP4110M,8761029a-7949-451f-bead-5894f98e32b0-00486549,LEVEL 04,HP-C41A;HP4110Q;HP4110N;HP4110P;HP4110R;HP4110S
HP4110N,OFFICE HP4110N,8761029a-7949-451f-bead-5894f98e32b0-0048654a,LEVEL 04,HP-C41A;HP4110Q;HP4110M;HP4110R;HP4110P;HP4110S
HP4110P,OFFICE HP4110P,8761029a-7949-451f-bead-5894f98e32b0-0048654b,LEVEL 04,HP-C41A;HP4110Q;HP4110M;HP4110N;HP4110R;HP4110S
HP4110D,OFFICE HP4110D,8761029a-7949-451f-bead-5894f98e32b0-0048654c,LEVEL 04,HP-C41A;HP4110C;HP4110E
HP3151,RESEARCH HP3151,19efacc1-ae3b-4e9f-99ca-6fedd68a9eba-0031af06,LEVEL 03,HP3010D;HP3157A;HP-C31F;HP5220;HP3140M;HP3010C;HP3153;HP3157;HP3140L;HP3155
HP4110Q,OFFICE HP4110Q,8761029a-7949-451f-bead-5894f98e32b0-00486551,LEVEL 04,HP-C41A;HP4110M;HP4110N;HP4110P;HP4110R;HP4110S
HP4110C,OFFICE HP4110C,8761029a-7949-451f-bead-5894f98e32b0-00486554,LEVEL 04,HP-C41A;HP4110D;HP4110E
HP3120Q,OFFICE HP3120Q,19efacc1-ae3b-4e9f-99ca-6fedd68a9eba-0031aff6,LEVEL 03,HP3120U;HP3120Y;HP3120P;HP-C31B;HP3120S;HP3120W;HP3120V;HP3120R
HP3140B,STAFF OFFICE HP3140B,19efacc1-ae3b-4e9f-99ca-6fedd68a9eba-0031affe,LEVEL 03,HP3140C;HP3140D;HP3140E;HP3140F;HP-C31E
HP4120P,CHAIR OFFICE HP4120P,8761029a-7949-451f-bead-5894f98e32b0-00486563,LEVEL 04,HP4120Q;HP4120U;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP4110R,OFFICE HP4110R,8761029a-7949-451f-bead-5894f98e32b0-0048656a,LEVEL 04,HP-C41A;HP4110Q;HP4110M;HP4110N;HP4110P;HP4110S
HP4110S,OFFICE HP4110S,8761029a-7949-451f-bead-5894f98e32b0-0048656e,LEVEL 04,HP-C41A;HP4110Q;HP4110M;HP4110N;HP4110P;HP4110R
HP4110T,CHAIR OFFICE HP4110T,8761029a-7949-451f-bead-5894f98e32b0-0048656f,LEVEL 04,HP-C41A
HP2312,CLASSROOM HP2312,a6083ce5-39cd-4e7d-a6ab-a06e6cb67850-0032e526,LEVEL 02,HP2310;HP2002;HP2004
HP5130C,OPEN HUDDLE HP5130C,21958d62-3273-46ac-b7c7-ea989ee8612c-00477a90,LEVEL 05,HP5120E;HP5120A;HP5120D;HP-C51C;HP5120J;HP5120B;HP5120F;HP5120H;HP5120K;HP5120L;HP5120N;HP5120M;HP5120C;HP5120G
HP3304,CLASSROOM HP3304,20d7622d-978b-49e2-a948-380dc195da73-002d5389,LEVEL 03,HP3304B;HP-ST-304;1956;HP3002;HP3304A;HP3306
HP3306,CLASSROOM HP3306,20d7622d-978b-49e2-a948-380dc195da73-002d538b,LEVEL 03,HP-ST-304;HP3308;1956;HP3002;HP3304;HP3306A
HP2010A,JAN HP2010A,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0e37,LEVEL 02,HP-C20A;HP2005
HP6329,SUPPLY HP6329,6773639c-9b42-4945-ba92-0031657181cc-00423869,LEVEL 06,HP-C60C;HP6330
HP7001,MECHANICAL PENTHOUSE HP7001,b4f760a5-b736-4f8b-a16c-88120526f31b-01666e35,PENTHOUSE,HP2302;HP-ST-302;HP4304;HP7001B;HP-ST-202;HP-ST-502;HP0010;HP-ST-102;HP-ST-602;HP-ST-PH02;HP7001A;HP-ST-402
HP4017,DATA HP4017,a05fb23f-c6e1-479f-a1ac-3774cb666868-005b1a36,LEVEL 04,HP-C40A;HP2302N
HP2001B,CAFE SERVERY HP2001B,3918e453-1d0a-42b3-b1a6-8b3b7ac58c59-0055a8aa,LEVEL 02,HP2001C
HP2306B,CLO. HP2306B,4ccbea87-fb27-408e-a31f-2ba8d10f9e8a-006d0816,LEVEL 02,HP-ST-201;HP2306;HP2002;HP2004
HP6011,TOILET HP6011,a83e5733-447c-485e-b2eb-e5ad46d359db-004783c3,LEVEL 06,HP-C61A;HP6100S;HP-C60A;HP6013
HP6015,ELECT HP6015,a83e5733-447c-485e-b2eb-e5ad46d359db-004783c4,LEVEL 06,HP-C60A
HP6017,DATA HP6017,a83e5733-447c-485e-b2eb-e5ad46d359db-004783c5,LEVEL 06,HP-C60A
HP6210,PREBRIEF HP6210,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92ed,LEVEL 06,HP6206;HP6208;HP6204;HP6201;HP6202A;HP6202
HP6013,TOILET HP6013,a83e5733-447c-485e-b2eb-e5ad46d359db-004783c7,LEVEL 06,HP6011;HP-C60A
HP6202A,SUPPLY/EQUIPMENT STORAGE HP6202A,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92f9,LEVEL 06,HP6206;HP6208;HP6204;HP6201;HP6202;HP6210
HP6202,MANIKIN PREP HP6202,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d92fb,LEVEL 06,HP6206;HP6208;HP6204;HP6201;HP6202A;HP6210
HP3310,CLASSROOM HP3310,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc79,LEVEL 03,HP-ST-304;1956;HP3310A;HP3312A;HP3002
HP3312,CLASSROOM HP3312,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfc7c,LEVEL 03,HP-ST-304;1956;HP3312A;HP3002;HP3005
HP3202,COMPUTER CLASSROOM HP3202,20d7622d-978b-49e2-a948-380dc195da73-002d53d3,LEVEL 03,HP-ST-304;1956;HP3204;HP3001;HP3002
HP3204,COMPUTER CLASSROOM HP3204,20d7622d-978b-49e2-a948-380dc195da73-002d53d4,LEVEL 03,HP-ST-304;1956;HP3202;HP3208A;HP3002;HP3206A;HP3001;HP3208;HP3206
HP3208,CLASSROOM (30) HP3208,20d7622d-978b-49e2-a948-380dc195da73-002d53d5,LEVEL 03,HP-C30B;HP3204;HP3208A;HP3206;HP3206A
