Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP3206,CLASSROOM (30) HP3206,20d7622d-978b-49e2-a948-380dc195da73-002d53d6,LEVEL 03,HP3206A;HP3204;HP3208;HP3208A;HP-C30B
HP2005,MAINT CLOSET HP2005,7c115f3e-3a32-4619-bab5-20cd91fb6b9b-00f52f7d,LEVEL 02,HP-C20A;HP2017;HP2010A
HP3120B,OFFICE HP3120B,20d7622d-978b-49e2-a948-380dc195da73-002d53e7,LEVEL 03,HP-C31C;HP3100B;HP3130D;HP3120E;HP3120F;HP3120G;HP3120K;HP3120J;HP3120M;HP3120D;HP3100
HP3120E,OFFICE HP3120E,20d7622d-978b-49e2-a948-380dc195da73-002d53e8,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120K;HP3120F;HP3120G;HP3120M;HP3120J;HP3120D;HP3100;HP-C31C
HP3120F,OFFICE HP3120F,20d7622d-978b-49e2-a948-380dc195da73-002d53e9,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120K;HP3120G;HP3120M;HP3120J;HP3120D;HP3100;HP-C31C
HP3120G,OFFICE HP3120G,20d7622d-978b-49e2-a948-380dc195da73-002d53ea,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120K;HP3120M;HP3120J;HP3120D;HP3100;HP-C31C
HP3120J,OFFICE HP3120J,20d7622d-978b-49e2-a948-380dc195da73-002d53ec,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120G;HP3120K;HP3120M;HP3120D;HP3100;HP-C31C
HP3120T,STAFF OFFICE HP3120T,20d7622d-978b-49e2-a948-380dc195da73-002d53ed,LEVEL 03,HP-C31B
HP3140F,STAFF OFFICE HP3140F,20d7622d-978b-49e2-a948-380dc195da73-002d53ee,LEVEL 03,HP3140C;HP3140B;HP3140D;HP-C31F;HP3140E;HP3140G;HP-C31E
HP6354,EXAM HP6354,7cbb3b65-3975-4b7e-9122-8d37a9f4dbdf-00425cae,LEVEL 06,HP6362;HP6358;HP6356;HP-C63C;HP-C63D;HP6360
HP4120B,OFFICE HP4120B,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde4,LEVEL 04,HP4120K;HP-C41C;HP4120E;HP4120F;HP4120G;HP4120J;HP4120D;HP4120M;HP4130D
HP6308,MED HP6308,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9333,LEVEL 06,HP-C63B;HP6310
HP4120E,OFFICE HP4120E,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde5,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120F;HP4120G;HP4120J;HP4120D;HP4120M;HP4130D
HP6323,LINEN HP6323,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9335,LEVEL 06,HP6330;HP6325;HP-C63B
HP4120F,OFFICE HP4120F,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde6,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120G;HP4120J;HP4120D;HP4120M;HP4130D
HP3140G,HUDDLE HP3140G,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba83e,LEVEL 03,HP3140H;HP-C31F;HP5220;HP3140F
HP4120G,OFFICE HP4120G,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde7,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120F;HP4120J;HP4120D;HP4120M;HP4130D
HP4120J,OFFICE HP4120J,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde8,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120F;HP4120G;HP4120D;HP4130D;HP4120M
HP4120T,STAFF OFFICE HP4120T,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044dde9,LEVEL 04,HP-C41B
HP4120M,OFFICE HP4120M,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044ddea,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120F;HP4120G;HP4120J;HP4120D;HP4130D
HP4101,WORKRM/STOR HP4101,a05fb23f-c6e1-479f-a1ac-3774cb666868-005b1a97,LEVEL 04,HP-C41A;HP4011
HP4120H,STAFF OFFICE HP4120H,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044ddf1,LEVEL 04,HP-C41C
HP3012,TOILET HP3012,d685d01c-e7d4-4cf1-8630-ba07ce79164f-003244ec,LEVEL 03,HP3010;HP3010A
HP3140AA,OFFICE HP3140AA,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38d9,LEVEL 03,HP3140Z;HP3140Y;HP-C31F
HP4120D,OFFICE HP4120D,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044ddf8,LEVEL 04,HP4120K;HP-C41C;HP4120B;HP4120E;HP4120F;HP4120G;HP4120J;HP4130D;HP4120M
HP3140Z,OFFICE HP3140Z,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38da,LEVEL 03,HP3140AA;HP3140Y;HP-C31F
HP3140Y,OFFICE HP3140Y,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38db,LEVEL 03,HP3140U;HP3140S;HP3140R;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140N;HP3140AA;HP3140Z;HP3140T;HP3140P;HP3140Q
HP3140T,OFFICE HP3140T,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38dc,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140P;HP3140Q
HP3110U,CONF(12) HP3110U,3daa2093-bf98-47c1-9fea-f14e5e92cab5-0035f09f,LEVEL 03,HP-C31A;HP3110UA
HP3140P,OFFICE HP3140P,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38dd,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140Q
HP5202,FOUNDATION SKILLS HP5202,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d813a,LEVEL 05,HP5002
HP3140Q,OFFICE HP3140Q,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38de,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P
HP4110E,OFFICE HP4110E,8761029a-7949-451f-bead-5894f98e32b0-00486606,LEVEL 04,HP-C41A;HP4110D;HP4110C
HP5120B,OFFICE HP5120B,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df0b,LEVEL 05,HP5130C;HP5120F;HP5120H;HP5120K;HP5120L;HP5120D;HP5120M;HP-C51C;HP5120N
HP5120F,OFFICE HP5120F,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df0c,LEVEL 05,HP5130C;HP5120B;HP5120H;HP5120K;HP5120L;HP5120D;HP5120M;HP-C51C;HP5120N
HP5120H,OFFICE HP5120H,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df0d,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120N;HP5120K;HP5120L;HP5120D;HP5120M;HP-C51C
HP5120K,OFFICE HP5120K,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df0e,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120H;HP5120N;HP5120L;HP5120D;HP5120M;HP-C51C
HP3140CC,OFFICE HP3140CC,9afeaf80-f594-4102-b0b7-6d15b121cf9f-00485d02,LEVEL 03,HP3140DD;HP-C31F;HP-C31D;HP3140GG;HP3140HH;HP3140FF;HP3140EE
HP5120L,OFFICE HP5120L,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df0f,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120H;HP5120K;HP5120D;HP-C51C;HP5120M;HP5120N
HP5120V,STAFF OFFICE HP5120V,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df10,LEVEL 05,HP5120X;HP5120BB;HP-C51B;HP5120Z
HP5120M,OFFICE HP5120M,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df11,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120H;HP5120K;HP5120L;HP5120D;HP-C51C;HP5120N
HP3140U,OFFICE HP3140U,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e0,LEVEL 03,HP3140N;HP3140S;HP3140R;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3140S,OFFICE HP3140S,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e1,LEVEL 03,HP3140U;HP3140N;HP3140R;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3013,TOILET HP3013,d685d01c-e7d4-4cf1-8630-ba07ce79164f-003244f2,LEVEL 03,HP-C30A
HP3140R,OFFICE HP3140R,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e2,LEVEL 03,HP3140U;HP3140S;HP3140N;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3010,TOILET HP3010,d685d01c-e7d4-4cf1-8630-ba07ce79164f-003244f5,LEVEL 03,HP3012;HP3010A
HP3140X,OFFICE HP3140X,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e5,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3015,ELECT HP3015,d685d01c-e7d4-4cf1-8630-ba07ce79164f-003244f8,LEVEL 03,HP-C30A
HP3140W,OFFICE HP3140W,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e6,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140X;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3017,DATA HP3017,d685d01c-e7d4-4cf1-8630-ba07ce79164f-003244fb,LEVEL 03,HP-C30A
HP3140V,OFFICE HP3140V,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f38e7,LEVEL 03,HP3140U;HP3140S;HP3140R;HP3140N;HP-C31F;HP3140X;HP3140W;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3110G,OFFICE HP3110G,20d7622d-978b-49e2-a948-380dc195da73-002d5423,LEVEL 03,HP-C31A;HP3110H;HP3110J
HP3110H,OFFICE HP3110H,20d7622d-978b-49e2-a948-380dc195da73-002d5424,LEVEL 03,HP-C31A;HP3110G;HP3110J
HP3110K,OFFICE HP3110K,20d7622d-978b-49e2-a948-380dc195da73-002d5425,LEVEL 03,HP-C31A;HP3110J
HP3110J,OFFICE HP3110J,20d7622d-978b-49e2-a948-380dc195da73-002d5426,LEVEL 03,HP-C31A;HP3110G;HP3110H;HP3110K
HP5120D,OFFICE HP5120D,5bf14f86-8e94-4f94-a5a8-ff8cf01c321e-0044df1f,LEVEL 05,HP5130C;HP5120B;HP5120F;HP5120H;HP5120K;HP5120L;HP-C51C;HP5120M;HP5120N
HP2200C,AV SUPPORT HP2200C,7d19581c-2f2d-4e87-a876-c93386b5b3b6-0049fecc,LEVEL 02,HP2200B
HP3110M,OFFICE HP3110M,20d7622d-978b-49e2-a948-380dc195da73-002d5429,LEVEL 03,HP3110S;HP3110Q;HP3110R;HP3110N;HP-C31A;HP3110P
HP3110N,OFFICE HP3110N,20d7622d-978b-49e2-a948-380dc195da73-002d542a,LEVEL 03,HP3110S;HP3110Q;HP3110M;HP3110R;HP-C31A;HP3110P
HP3110P,OFFICE HP3110P,20d7622d-978b-49e2-a948-380dc195da73-002d542c,LEVEL 03,HP3110S;HP3110Q;HP3110M;HP3110N;HP3110R;HP-C31A
HP3302,CLASSROOM HP3302,20d7622d-978b-49e2-a948-380dc195da73-002d542d,LEVEL 03,HP-ST-304;HP3003;1956;HP3002
HP-C41F,ADMIN CORR. HP-C41F,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089b131,LEVEL 04,HP4140HH;HP4140Z;HP4140Y;HP4140X;HP4140S;HP4140N;HP4140P;HP4002;HP4140T;HP4140R;HP4140Q;HP4140CC;HP4140W;HP4140V;HP4140U;HP4140F;HP4153;HP4157;HP4155;HP4140E;HP4140M;HP4151;HP4140FF;HP4140EE;HP4140DD;HP4140GG;HP-C41D
HP3120A,WORKROOM/STORAGE HP3120A,484585ff-557f-4d0c-95e9-ab9d3c1b78e2-003ac33e,LEVEL 03,HP3120X;HP3120C;HP-C31B;HP3100;HP3100B;HP-C31C
HP5226,ADMIN CORR. HP5226,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089b134,LEVEL 04,HP4140F;HP4140K;HP4130E;HP4140H;HP4130C;HP4209;HP4151;HP4140L;HP4140J;HP4140G
HP-C41D,ADMIN CORR. HP-C41D,1192b38b-86e4-4f47-ae4d-0e23108f4710-0089b137,LEVEL 04,HP-C41F;HP4140A;HP4140FF;HP4140EE;HP4140HH;HP4140DD;HP4140GG;HP4140CC
HP3140N,OFFICE HP3140N,9bd9cfa5-f08b-4698-a9e3-5b7ca03eec69-003f3910,LEVEL 03,HP3140U;HP3140S;HP3140R;HP-C31F;HP3140X;HP3140W;HP3140V;HP3140Y;HP3140T;HP3140P;HP3140Q
HP3120H,STAFF OFFICE HP3120H,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba889,LEVEL 03,HP3100;HP3100B;HP-C31C
HP6367,SP DRESSING HP6367,38af3e36-96bc-49f2-843a-0ad7a3bc9150-002cc3bc,LEVEL 06,HP6363;HP6365
HP3130C,TOILET HP3130C,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba893,LEVEL 03,HP5220;HP3140K;HP3140J
HP3140K,STAFF OFFICE HP3140K,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba896,LEVEL 03,HP3130C;HP5220;HP3140J
HP3140J,STAFF OFFICE HP3140J,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba897,LEVEL 03,HP3130C;HP5220;HP3140K
HP5110U,CONF(12) HP5110U,9e5ddc49-9c23-41c3-ba82-e1c63dc4fc5b-00712d97,LEVEL 05,HP5110UA;HP-C51A
HP5101,WORKRM/STOR HP5101,9e5ddc49-9c23-41c3-ba82-e1c63dc4fc5b-00712d9a,LEVEL 05,HP5011;HP-C51A
HP3140L,STAFF OFFICE HP3140L,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba89e,LEVEL 03,HP3010D;HP3010C;HP3151;HP3140M;HP5220
HP-C41C,"ADMIN CORR, HP-C41C",8df684a3-eb47-49ac-8d34-df8266b25986-004ce710,LEVEL 04,HP4120K;HP4120A;HP4120H;HP4120C;HP4120D;HP4120AA;HP4120B;HP4120E;HP4120F;HP4120G;HP4120J;HP4130D;HP4120M
HP-C50AA,VENDING / TRASH+RECYCLING HP-C50AA,9e5ddc49-9c23-41c3-ba82-e1c63dc4fc5b-00712e4c,LEVEL 05,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP1012A,SHOWER HP1012A,5f3a2586-1d2a-4161-9c22-89dcdffbc356-004af9e4,LEVEL 01,HP1012
HP2002,EAST ATRIUM HP2002,6218d673-ab35-4d65-8f62-38000ea1508b-004ac3ae,LEVEL 02,HP2200A;HP2312;HP2310;HP-ST-201;HP2303;HP-ST-202;HP-EL-2;HP2203;HP2002B;HP2306B;HP2002A;HP2303A;HP-EL-1;HP2004;HP2200B
HP-C41E,ADMIN CORR. HP-C41E,8df684a3-eb47-49ac-8d34-df8266b25986-004ce716,LEVEL 04,HP4140E;HP4140C;HP4140D;HP4140B
HP3140M,STAFF OFFICE HP3140M,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba8a6,LEVEL 03,HP3010D;HP3010C;HP3151;HP3140L;HP5220
HP3120M,OFFICE HP3120M,484585ff-557f-4d0c-95e9-ab9d3c1b78e2-003ac6ee,LEVEL 03,HP3100B;HP3130D;HP3120B;HP3120E;HP3120F;HP3120G;HP3120K;HP3120J;HP3120D;HP3100;HP-C31C
HP1200A,VESTIBULE HP1200A,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce5,LEVEL 01,HP1000C;HP2202;HP1200
HP1200B,VESTIBULE HP1200B,fb8b809e-bd1b-4568-950a-2a1c0420a3d5-004acce8,LEVEL 01,HP1000C;HP2202;HP1200
HP5306,HEALTH ASSESSMENT HP5306,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d81bc,LEVEL 05,HP5002
HP2017,ELECT HP2017,462e8ff1-7afd-4920-8777-43fbe4ebeffb-004a0625,LEVEL 02,HP2005
HP3010A,JAN HP3010A,080fb163-97a4-4ffb-bc78-8c98df03bef8-006d090d,LEVEL 03,HP3012;HP3010
HP3140A,CONF(8) HP3140A,35e3559f-2452-4714-ae78-f29c9f2f8e69-00311b60,LEVEL 03,HP-C31D
HP5130,ADMIN ENTRY HP5130,cac56560-baa1-4997-99a9-6340b42fb4c3-004ceb27,LEVEL 05,HP5130B;HP5130A
HP6346,SP CONTROL HP6346,ac9d02d6-eaa6-40d3-a423-9994b1fbc6cc-0042d080,LEVEL 06,HP-C63C;HP-C63D
HP-C51C,ADMIN CORR. HP-C51C,cac56560-baa1-4997-99a9-6340b42fb4c3-004ceb2a,LEVEL 05,HP5120E;HP5120A;HP5120D;HP5120J;HP5130C;HP5120B;HP5120F;HP5120H;HP5120K;HP5120L;HP5120N;HP5120M;HP5120C;HP5120G
HP5120U,OFFICE HP5120U,4a653e06-fb9a-4797-9441-327d6da0ffac-0044cd1a,LEVEL 05,HP5120S;HP5120Y;HP5120T;HP5120AA;HP5120Q;HP5120W;HP-C51B;HP5120R
HP4308A,AV CLO. HP4308A,7d318c75-447d-4ef8-9c1f-27c12d2df25a-006b729b,LEVEL 04,HP4308
HP4304A,AV CLO. HP4304A,7d318c75-447d-4ef8-9c1f-27c12d2df25a-006b729e,LEVEL 04,HP4304;HP4002
HP6322,SIM: CC HP6322,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d93fe,LEVEL 06,HP-C63B
HP6324,SIM: CC HP6324,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d93ff,LEVEL 06,HP-C63B
HP6314,SIM: MS HP6314,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9400,LEVEL 06,HP-C63B
HP6316,SIM: MS HP6316,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9401,LEVEL 06,HP-C63B
HP4120U,OFFICE HP4120U,4a653e06-fb9a-4797-9441-327d6da0ffac-0044cd21,LEVEL 04,HP4120Q;HP4120P;HP4120W;HP4120R;HP-C41B;HP4120S;HP4120X;HP4120V
HP5110A,CONF(8) HP5110A,ef8ee73c-3cba-4c36-b4b2-71ef690105b8-007a506e,LEVEL 05,HP-C51A
HP7001A,ELECT ROOM HP7001A,f979e28d-8e0d-478a-8de2-d3f4d8c2cabf-013af91a,PENTHOUSE,HP-ST-502;HP2302;HP-ST-602;HP-ST-202;HP7001;HP-ST-402
HP3153,RESEARCH HP3153,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ec,LEVEL 03,HP3157A;HP-C31F;HP3157;HP3155;HP3151
HP3157,RESEARCH HP3157,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ed,LEVEL 03,HP-C31F;HP3153;HP3151;HP3155;HP3157A
HP3155,RESEARCH HP3155,30a418a7-bdd0-4972-b5b3-bfc48f78d0c3-003066ee,LEVEL 03,HP-C31F;HP3153;HP3157;HP3151;HP3157A
HP7001B,ELECT CLOSET HP7001B,f979e28d-8e0d-478a-8de2-d3f4d8c2cabf-013afa52,PENTHOUSE,HP7001
HP6325,SUPPLY HP6325,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9434,LEVEL 06,HP6330;HP-C63B;HP6323
HP5206,MAKER SPACE STORAGE HP5206,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8224,LEVEL 05,HP-C50B
HP5208,SKILLS LAB STORAGE HP5208,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8225,LEVEL 05,HP5233
HP5304,SEMINAR HP5304,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d8228,LEVEL 05,HP5002
HP5302,CLASSROOM HP5302,a1fa4f9a-2c19-45b2-9804-0db8c403c3eb-002d822f,LEVEL 05,HP5003;HP5002
HP5110B,CLO. HP5110B,e2133ce8-3912-4b13-95ba-19918877e439-00477320,LEVEL 05,HP-C51A
HP4140Z,OFFICE HP4140Z,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d686,LEVEL 04,HP4140X;HP-C41F;HP4140Y
HP4140Y,OFFICE HP4140Y,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d687,LEVEL 04,HP4140X;HP-C41F;HP4140Z
HP4140X,OFFICE HP4140X,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d688,LEVEL 04,HP4140M;HP4140Z;HP4140Y;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q;HP4140W;HP4140V;HP4140U;HP-C41F
HP4140S,OFFICE HP4140S,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d689,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140N,OFFICE HP4140N,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68a,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140P,OFFICE HP4140P,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68b,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140T;HP4140R;HP4140Q
HP4140T,OFFICE HP4140T,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68d,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140R;HP4140Q
HP4140R,OFFICE HP4140R,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68e,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140Q
HP4140Q,OFFICE HP4140Q,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d68f,LEVEL 04,HP4140W;HP4140V;HP4140U;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R
HP4140W,OFFICE HP4140W,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d691,LEVEL 04,HP4140M;HP4140V;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP4140V,OFFICE HP4140V,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d692,LEVEL 04,HP4140W;HP4140M;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
