Room Number,Room Name,Room Unique ID,Level,Touching Rooms
HP4140U,OFFICE HP4140U,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d693,LEVEL 04,HP4140W;HP4140V;HP4140M;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP-ST-503,STAIR 03 HP-ST-503,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af1a7,LEVEL 05,HP-C51A
HP4202,ADL CLASS LAB HP4202,7d138358-9f87-4466-8f01-402102411f74-002c18fb,LEVEL 04,HP4002;HP4210;HP4204
HP4140M,OFFICE HP4140M,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d6a1,LEVEL 04,HP4140W;HP4140V;HP4140U;HP-C41F;HP4140X;HP4140S;HP4140N;HP4140P;HP4140T;HP4140R;HP4140Q
HP6304,SIM: FLEX HP6304,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d947c,LEVEL 06,HP6306;HP-C63A;HP6302
HP-C41A,ADMIN CORR. HP-C41A,59e9e32b-1657-4963-9de1-b02ee200fb61-00479bef,LEVEL 04,HP4110G;HP4011;HP4110J;HP4110K;HP4110M;HP4110N;HP4110P;HP4110R;HP4110H;HP4110S;HP4110T;HP4110U;HP4110Q;HP4110D;HP4110E;HP4110C;HP4110A;HP4110B;HP4101;HP-ST-403
HP-C60C,CORRIDOR HP-C60C,4f93459d-87bb-438e-8ed8-b827dc809597-016effb2,LEVEL 06,HP6330;HP6340;HP6344A;HP-ST-601;HP6329;HP6344;HP6002
HP3140E,STAFF OFFICE HP3140E,a045cbcc-5edf-4c28-9d40-49ae37617c41-003ba9a4,LEVEL 03,HP3140C;HP-C31E;HP3140D;HP3140F;HP3140B
HP6208,DEBRIEF HP6208,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94a0,LEVEL 06,HP6206;HP6204;HP6201;HP6202A;HP6202;HP6210
HP4310,CLASSROOM HP4310,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1c,LEVEL 04,HP4002;HP4310A
HP4312,CLASSROOM HP4312,bddf1669-ea15-4c5e-a2a9-34e4075e83bc-002bfe1f,LEVEL 04,HP4002;HP4312A;HP4005
HP-C20A,PUBLIC CORR. HP-C20A,0cfb6f7a-39e0-4c8a-9afd-a6993cdcc558-0089c727,LEVEL 02,HP2014;HP-ST-203;HP2005;HP2010A
HP5017,DATA HP5017,a05fb23f-c6e1-479f-a1ac-3774cb666868-005b1c22,LEVEL 05,HP-C50A
HP6201,LOCKERS HP6201,9a6503e7-5e21-449b-9cfe-c2d8121d7161-00d45b6c,LEVEL 06,HP6206;HP6208;HP6204;HP6202A;HP6202;HP6210
HP3110S,OFFICE HP3110S,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73a0,LEVEL 03,HP3110Q;HP3110M;HP3110N;HP3110R;HP3110P;HP-C31A
HP-ST-303,STAIR 03 HP-ST-303,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004ad710,LEVEL 03,HP-C31A
HP4312A,AV CLO HP4312A,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c46424,LEVEL 04,HP4002;HP4005;HP4312
HP4151,RESEARCH HP4151,a590d2e2-cc1f-4e02-a892-94f67903f45e-003297eb,LEVEL 04,HP-C41F;HP4130E;HP4140K;HP5226;HP4209;HP4140L;HP4153;HP4157;HP4155
HP6100M,OFFICE HP6100M,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94f8,LEVEL 06,HP-C61A;HP6100P;HP6100N;HP6100Q
HP6100G,ASSOC. DEAN HP6100G,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94fa,LEVEL 06,HP6100K;HP6100J;HP6100H;HP-C61A
HP6100J,OFFICE HP6100J,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94fc,LEVEL 06,HP6100K;HP6100G;HP6100H;HP-C61A
HP6100H,OFFICE HP6100H,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94fd,LEVEL 06,HP6100K;HP6100G;HP6100J;HP-C61A
HP6100N,OFFICE HP6100N,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d94fe,LEVEL 06,HP6100M;HP-C61A;HP6100P;HP6100Q
HP6100S,WORKRM/ STOR HP6100S,8a8ed395-d2d4-4bca-9433-fa2bac1c2409-002d9509,LEVEL 06,HP6011;HP-C60A;HP-C61A
HP3120X,HUDDLE HP3120X,fa7b4a67-9991-4750-8563-132eb7ac0cc5-00360d80,LEVEL 03,HP3120A;HP-C31B
HP3120C,HUDDLE HP3120C,fa7b4a67-9991-4750-8563-132eb7ac0cc5-00360d83,LEVEL 03,HP3100;HP3120A;HP3100B;HP-C31C
HP4110B,CLO. HP4110B,f865b1a8-17dc-4c9a-869a-0c4dd4373e0b-00b7ab76,LEVEL 04,HP-C41A
HP3110T,CHAIR OFFICE HP3110T,9184f9ef-56f8-464d-8752-2bc104b17e34-003b73f7,LEVEL 03,HP-C31A;HP3110UA
HP4310A,AV CLO. HP4310A,7d318c75-447d-4ef8-9c1f-27c12d2df25a-006b73cd,LEVEL 04,HP4310
HP4209,WELLNESS HP4209,ba831953-ab96-4132-a9be-093afd6c2829-006d409a,LEVEL 04,HP4130E;HP4140K;HP5226;HP-C40B;HP4151;HP4140L;HP4207
HP1000,BUILDING LOBBY HP1000,01dcde21-cacf-4769-a509-88c3cf060c87-004ac566,LEVEL 01,HP1000A
HP-C63A,PATIENT UNIT CORRIDOR HP-C63A,faf824cd-3b0a-40f1-a617-bdfc3f559c86-00550199,LEVEL 06,HP6306;HP-C60A;HP6300;HP6302;HP6304;HP6301;HP6303;HP6305
HP-ST-601,STAIR 01 HP-ST-601,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2a7,LEVEL 06,HP-ST-401;HP-ST-301;HP4308;HP-C63C;HP-ST-501;HP-ST-201;HP3308;HP-C60C;HP0010;HP0011;HP-C63D;HP6344
HP-C63C,SP CORRIDOR HP-C63C,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2aa,LEVEL 06,HP6357;HP6355;HP6340;HP-ST-601;HP6351;HP6359;HP6346;HP6354;HP6362;HP6353;HP6358;HP6356;HP6369;HP6344;HP-C63D;HP6342;HP6360;HP6365
HP6300,PATIENT UNIT CORRIDOR HP6300,faf824cd-3b0a-40f1-a617-bdfc3f559c86-005501b4,LEVEL 06,HP-C63A;HP6307;HP6305;HP6303
HP-ST-603,STAIR 03 HP-ST-603,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2b0,LEVEL 06,HP-C61A
HP-C60A,PUBLIC CORR. HP-C60A,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2b3,LEVEL 06,HP6011;HP6015;HP6017;HP6013;HP-C61A;HP-C63A;HP6100S;HP6301;HP6303
HP4140FF,OFFICE HP4140FF,8761029a-7949-451f-bead-5894f98e32b0-00486832,LEVEL 04,HP-C41F;HP4140EE;HP4140DD;HP4140GG;HP4140HH;HP-C41D;HP4140CC
HP4140EE,OFFICE HP4140EE,8761029a-7949-451f-bead-5894f98e32b0-00486833,LEVEL 04,HP-C41F;HP4140FF;HP4140DD;HP4140GG;HP4140HH;HP-C41D;HP4140CC
HP4140DD,OFFICE HP4140DD,8761029a-7949-451f-bead-5894f98e32b0-00486834,LEVEL 04,HP-C41F;HP4140FF;HP4140EE;HP4140GG;HP4140HH;HP-C41D;HP4140CC
HP3003,COLLAB HP3003,97b4a129-5383-44d2-804d-f54dd5cee5c8-004cb257,LEVEL 03,HP3302
HP4140GG,OFFICE HP4140GG,8761029a-7949-451f-bead-5894f98e32b0-00486835,LEVEL 04,HP-C41F;HP4140FF;HP4140EE;HP4140DD;HP4140HH;HP-C41D;HP4140CC
HP3011,TOILET HP3011,d685d01c-e7d4-4cf1-8630-ba07ce79164f-0032472f,LEVEL 03,HP-C31A;HP3101
HP4306A,AV CLO. HP4306A,e1ca5255-0d85-472b-baeb-df68c8a9f560-00c464bb,LEVEL 04,HP4308;HP4306;HP4002
HP4003,COLLAB HP4003,97b4a129-5383-44d2-804d-f54dd5cee5c8-004cb32d,LEVEL 04,HP4302
HP4120K,OFFICE HP4120K,8761029a-7949-451f-bead-5894f98e32b0-00486840,LEVEL 04,HP-C41C;HP4120B;HP4120E;HP4120F;HP4120G;HP4120J;HP4120D;HP4120M;HP4130D
HP4140HH,OFFICE HP4140HH,8761029a-7949-451f-bead-5894f98e32b0-00486845,LEVEL 04,HP-C41F;HP4140FF;HP4140EE;HP4140DD;HP4140GG;HP-C41D;HP4140CC
HP-C10A,CORRIDOR HP-C10A,1e4239ea-71ba-4d38-bb37-8676d53ceac4-0069b44a,LEVEL 01,HP1012;HP1013;HP-ST-100;HP1014
HP5003,COLLAB HP5003,97b4a129-5383-44d2-804d-f54dd5cee5c8-004cb449,LEVEL 05,HP5302
HP4120C,STAFF OFFICE HP4120C,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b5047,LEVEL 04,HP4120A;HP-C41C
HP5207,EQUIP. HP5207,3da8a856-0d02-4128-9e6a-2bf658a48bf6-014f4f36,LEVEL 05,HP-C50B;HP5233
HP-ST-602,STAIR 02 HP-ST-602,6922bfcd-f9f2-4f2d-9253-d98429ee199d-004cecda,LEVEL 06,HP-ST-502;HP2302;HP-C63B;HP-ST-302;HP-ST-202;HP7001A;HP7001;HP-ST-402
HP6301,SIMULATION AV EQUIPMENT HP6301,23bc774d-9703-4cfc-91d0-ca2ae2385d36-007228fd,LEVEL 06,HP-C63A;HP-C60A;HP6303
HP3205A,DIAGNOSTIC CLASS LAB STORAGE HP3205A,159f9a9b-0941-4e5b-a63b-33cce400eb7b-004cdadc,LEVEL 03,HP3010C;HP3205;HP-C30B
HP-EL-2,ELEVATOR HP-EL-2,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a1f,LEVEL 03,HP-EL-2;HP-ST-304;HP-EL-1;1956;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP1014;HP-EL-1;HP-EL-2;HP3002;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP6303,STORAGE HP6303,23bc774d-9703-4cfc-91d0-ca2ae2385d36-0072290e,LEVEL 06,HP-C63A;HP-C60A;HP6300;HP6301;HP6305
HP-ST-302,STAIR 02 HP-ST-302,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a25,LEVEL 03,HP-ST-304;1956;HP4304;HP-ST-202;HP-ST-502;HP0010;HP3002;HP-ST-102;HP-ST-602;HP-ST-PH02;HP7001;HP-ST-402
HP-ST-301,STAIR 01 HP-ST-301,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a28,LEVEL 03,HP-ST-304;HP-ST-401;1956;HP3002;HP-ST-601;HP-ST-501;HP-ST-201
HP3110A,CONF(8) HP3110A,aeef8963-9328-43f5-b693-abb6e4cfbe3f-00474899,LEVEL 03,HP-C31A
HP-ST-501,STAIR 01 HP-ST-501,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a2e,LEVEL 05,HP-ST-401;HP3308;HP5002;HP0010;HP-ST-601;HP-ST-301;HP4308;HP-ST-201;HP0011
HP-EL-2,ELEVATOR HP-EL-2,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a31,LEVEL 05,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP5002;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP1014;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP-ST-502,STAIR 02 HP-ST-502,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a37,LEVEL 05,HP2302;HP5002;HP-ST-302;HP4304;HP-ST-202;HP0010;HP-ST-102;HP-ST-602;HP-ST-PH02;HP7001;HP7001A;HP-ST-402
HP4140CC,OFFICE HP4140CC,8761029a-7949-451f-bead-5894f98e32b0-0048688b,LEVEL 04,HP-C41F;HP4140FF;HP4140EE;HP4140DD;HP4140GG;HP4140HH;HP-C41D
HP6100T,CLO. HP6100T,21958d62-3273-46ac-b7c7-ea989ee8612c-00477da3,LEVEL 06,HP-C61A
HP-EL-2,ELEVATOR HP-EL-2,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35b5,LEVEL 04,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP4002;HP-EL-1;HP-EL-2;HP-EL-1;HP-EL-2;HP1014;HP-EL-1;HP-EL-2;HP-EL-1
HP-C50A,PUBLIC CORR HP-C50A,1be918ec-db3a-4534-adaf-065dcd88540e-003bcf03,LEVEL 05,HP5013;HP5017;HP5015
HP-ST-402,STAIR HP-ST-402,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35bb,LEVEL 04,HP2302;HP-ST-302;HP4304;HP4002;HP-ST-202;HP-ST-502;HP0010;HP-ST-102;HP-ST-602;HP-ST-PH02;HP7001A;HP7001
HP-ST-401,STAIR HP-ST-401,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35be,LEVEL 04,HP3308;HP0010;HP-ST-601;HP-ST-301;HP4308;HP-ST-501;HP0011;HP4002;HP-ST-201
HP-EL-2,ELEVATOR HP-EL-2,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3660,LEVEL 06,HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-1;HP-EL-2;HP1014;HP-EL-2;HP6002;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP-ST-201,STAIR HP-ST-201,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3677,LEVEL 02,HP-ST-401;HP2306B;HP-ST-601;HP-ST-301;HP-ST-501;HP2002;HP2004
HP-ST-202,STAIR HP-ST-202,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,LEVEL 02,HP-ST-502;HP2002;HP2004;HP2302;HP-ST-302;HP-ST-602;HP7001A;HP7001;HP-ST-402
HP-EL-2,ELEVATOR HP-EL-2,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367d,LEVEL 02,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP1014;HP2002;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1;HP2004
HP2002B,VESTIBULE HP2002B,363b0869-408a-48a6-bd1a-c1220b2aa530-003e368e,LEVEL 02,HP2002;HP2004
HP2002A,VESTIBULE HP2002A,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3695,LEVEL 02,HP2002;HP2004
HP3304B,CL. STO. HP3304B,4122ef51-054f-4d6e-a3bf-d1b788591c8e-00c362b1,LEVEL 03,HP3304
HP1000A,VESTIBULE HP1000A,363b0869-408a-48a6-bd1a-c1220b2aa530-003e369c,LEVEL 01,HP1000
HP1200,AUDITORIUM HP1200,363b0869-408a-48a6-bd1a-c1220b2aa530-003e36b9,LEVEL 01,HP1200B;HP2202;HP1200A
HP-C63B,PATIENT UNIT CORRIDOR HP-C63B,d08dea9a-c945-4f25-ba65-da521d60c1ba-00469304,LEVEL 06,HP6314;HP6316;HP6310;HP6002;HP6330;HP6325;HP6323;HP6318;HP6308;HP6312;HP6326;HP-ST-602;HP6320;HP6322;HP6324
HP4140B,RESOURCE CENTER HP4140B,23e6edb3-00b6-4ba6-9b12-c0d77cf20336-00327b99,LEVEL 04,HP-C41E
HP3157A,CLO. HP3157A,d512ccca-2ba4-468a-9a4a-abae2e250b12-01079e53,LEVEL 03,HP-C31F;HP3153;HP3157;HP3155;HP3151
HP-C31B,ADMIN CORR. HP-C31B,6769fb4e-8f5e-43fe-8c59-0352e7262f5c-00898fc5,LEVEL 03,HP3120X;HP3120S;HP3120W;HP3120A;HP3120T;HP3120AA;HP3120U;HP3120Y;HP3120Z;HP3120P;HP3120N;HP3120V;HP3120R;HP3120Q
HP4140G,STAFF OFFICE HP4140G,7d28afc0-14ff-4e4b-a1a6-46e8b8ac765e-0044d85e,LEVEL 04,HP4140F;HP5226
HP2303B,RECYCLING HP2303B,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd838,LEVEL 02,HP2303;HP2303A;HP2303C
HP2303A,WASTE STOR HP2303A,646ed50c-cc6e-4d8a-b7f9-35555ffc898e-006bd83b,LEVEL 02,HP2303B;HP2303C;HP2303;HP2002;HP2004
HP4140E,STAFF OFFICE HP4140E,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a0,LEVEL 04,HP4140C;HP4140F;HP4140D;HP-C41F;HP-C41E
HP4140H,STAFF OFFICE HP4140H,d2bccdad-4552-456d-9e21-587d346423c8-002bf6a6,LEVEL 04,HP4140J;HP5226;HP4130C
HP3130D,STORAGE HP3130D,c010fbf0-6bb3-4aac-a21d-215679389f66-00947d96,LEVEL 03,HP3120M;HP3120D;HP3120B;HP3100;HP3120E;HP3120F;HP3120G;HP3100B;HP3120J;HP3120K;HP-C31C
HP2303C,LOADING DOCK HP2303C,99c79835-3be2-4564-b1b3-9905d12d45b2-00b842f0,LEVEL 02,HP2303B;HP2304;HP2303;HP2303A
HP4010A,JAN HP4010A,333415c1-b105-4983-be56-18432592632a-00472206,LEVEL 04,HP4010;HP4012
HP4010,TOILET HP4010,333415c1-b105-4983-be56-18432592632a-00472207,LEVEL 04,HP4010A;HP4012
HP4012,TOILET HP4012,333415c1-b105-4983-be56-18432592632a-00472208,LEVEL 04,HP4010A;HP4010
HP-C63D,EXAM SUITE CORRIDOR HP-C63D,9c366077-349c-4b85-95f7-9501b769eaa4-0043c99b,LEVEL 06,HP6357;HP6355;HP6340;HP-ST-601;HP6351;HP-C63C;HP6359;HP6346;HP6354;HP6362;HP6353;HP6358;HP6356;HP6369;HP6344;HP6342;HP6360;HP6365
HP1013A,SHOWER HP1013A,99689c1e-05db-4dbb-9c92-e72a39ad8cd4-004a23ef,LEVEL 01,HP1013
HP4120AA,CONF(24) HP4120AA,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b3f30,LEVEL 04,HP-C41C;HP-C41B
HP4140A,CONF(8) HP4140A,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b3f32,LEVEL 04,HP-C41D
HP-EL-2,ELEVATOR HP-EL-2,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,LEVEL 01,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP-EL-1;HP-EL-2;HP-EL-1;HP-EL-2;HP1014;HP0010;HP-EL-1;HP-EL-2;HP-EL-1
HP5010,TOILET HP5010,333415c1-b105-4983-be56-18432592632a-004722cb,LEVEL 05,HP5012;HP5010A
HP5012,TOILET HP5012,333415c1-b105-4983-be56-18432592632a-004722cc,LEVEL 05,HP5010;HP5010A
HP3004,COLLAB HP3004,d3b63245-7e9b-49f8-8c78-cf9820d2eb63-00846953,LEVEL 03,HP-C31F
HP3005,COLLAB HP3005,d3b63245-7e9b-49f8-8c78-cf9820d2eb63-00846956,LEVEL 03,HP-ST-304;1956;HP3312;HP3002
HP-C51A,ADMIN COR. HP-C51A,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af41e,LEVEL 05,HP5110E;HP5110B;HP5110U;HP5101;HP-ST-503;HP5110G;HP5110H;HP5110J;HP5110R;HP5110M;HP5110N;HP5110P;HP5110S;HP5110T;HP5110K;HP5110D;HP5110Q;HP5110A;HP5110C;HP5011
HP3100,ADMIN ENTRY HP3100,c03294b1-3427-4409-992c-4d66fdf61132-004cdc08,LEVEL 03,HP3120C;HP3120B;HP3120E;HP3120F;HP3120G;HP3120K;HP3100B;HP3120J;HP3120A;HP-C31C;HP3120AA;HP3120H;HP3130D;HP3120M;HP3120D
HP-C31C,ADMIN CORR. HP-C31C,c03294b1-3427-4409-992c-4d66fdf61132-004cdc0f,LEVEL 03,HP3120C;HP3120B;HP3100;HP3120E;HP3120F;HP3120G;HP3100B;HP3120J;HP3120K;HP3120A;HP3120AA;HP3120H;HP3130D;HP3120M;HP3120D
HP3308,SEMINAR HP3308,012c3ed6-3448-47e9-8327-346034c8940e-0032fd51,LEVEL 03,HP-ST-304;HP-ST-401;1956;HP0010;HP3002;HP-ST-601;HP4308;HP3308A;HP3306;HP-ST-501;HP0011
HP-C31E,ADMIN CORR. HP-C31E,c03294b1-3427-4409-992c-4d66fdf61132-004cdc1e,LEVEL 03,HP3140C;HP3140D;HP3140E;HP3140F;HP3140B
HP-ST-403,STAIR 03 HP-ST-403,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af43e,LEVEL 04,HP-C41A
HP-C40A,PUBLIC CORR. HP-C40A,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af441,LEVEL 04,HP4013;HP4015;HP2302N;HP4017
HP6100D,TOILET HP6100D,da8a46d6-1136-4470-b5ba-f309ba37c83c-00e26f28,LEVEL 06,HP-C61B
HP2004,SOUTH STEPS HP2004,01dcde21-cacf-4769-a509-88c3cf060c87-004ac71e,LEVEL 02,HP2200A;HP2312;HP2310;HP-ST-201;HP2303;HP-ST-202;HP-EL-2;HP2002;HP2203;HP2002B;HP2306B;HP2002A;HP2303A;HP-EL-1;HP2200B
HP4120N,CONF(8) HP4120N,7ef0643c-3fdb-41b8-af0f-9d8ee06d00a0-003b3fb5,LEVEL 04,HP-C41B
HP0010,MECHANICAL HP0010,cdfbc36f-396e-4ecc-980b-ac13b08f3161-004a2d95,LEVEL 01,HP0029;HP0023;HP0015;HP0027;HP-ST-302;HP4304;HP4308;HP-ST-501;HP-ST-502;HP3308;HP0013;HP0014;HP0011;HP1005;HP-ST-102;HP7001;HP-ST-402;HP-ST-401;HP-ST-601;HP-EL-1;HP0025;HP-EL-2;HP-ST-PH02;HP0021
HP0023,HK STORAGE HP0023,26787f4f-9729-4afd-96ac-a945b1bff3a5-00addd83,LEVEL 01,HP0025;HP0010
HP6010,TOILET HP6010,b2367e07-78e0-4885-b538-0c268e3ab3b6-0049e563,LEVEL 06,HP6010A;HP6012
HP6012,TOILET HP6012,b2367e07-78e0-4885-b538-0c268e3ab3b6-0049e564,LEVEL 06,HP6010A;HP6010
HP-EL-1,ELEVATOR HP-EL-1,bb9deb9c-9308-4235-b52c-58a3927e8235-00b09d44,LEVEL 04,HP-EL-2;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-1;HP-C50AA;HP4002;HP-EL-1;HP-EL-2;HP-EL-1;HP1014;HP-EL-2;HP-EL-1;HP-EL-2;HP-EL-2;HP-EL-1
HP6100P,OFFICE HP6100P,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf744,LEVEL 06,HP6100M;HP-C61A;HP6100N;HP6100Q
HP3120W,OFFICE HP3120W,1ba13095-4a3a-4dfb-bb79-e671735cf6e1-002bf766,LEVEL 03,HP3120U;HP3120Y;HP3120P;HP-C31B;HP3120S;HP3120V;HP3120R;HP3120Q
HP5010A,JAN HP5010A,3594f68d-5d49-43fa-8487-da461b132818-011e0d2f,LEVEL 05,HP5010;HP5012
HP3205,DIAGNOSTIC CLASS LAB HP3205,7d138358-9f87-4466-8f01-402102411f74-002c1be5,LEVEL 03,HP3205A
HP3100B,RECEPTION HP3100B,167b647e-c970-4fec-aba6-167f350d9545-008e375b,LEVEL 03,HP3120C;HP3120B;HP3100;HP3120E;HP3120F;HP3120G;HP3120J;HP3120K;HP3120A;HP-C31C;HP3120AA;HP3120H;HP3130D;HP3120M;HP3120D
HP-C30B,PUBLIC CORR. HP-C30B,d3b63245-7e9b-49f8-8c78-cf9820d2eb63-008469ef,LEVEL 03,HP3208;HP3206;HP3010C;HP3207;HP3205A;HP3014
